Tamano,Tiempo
100,8.869171142578125e-05
200,0.0001652240753173828
300,0.0002574920654296875
400,0.00036144256591796875
500,0.00044846534729003906
600,0.0005769729614257812
700,0.0006868839263916016
800,0.0007951259613037109
900,0.0009021759033203125
1000,0.0010068416595458984
1100,0.0011641979217529297
1200,0.0013949871063232422
1300,0.0013928413391113281
1400,0.0015261173248291016
1500,0.0016639232635498047
1600,0.0019233226776123047
1700,0.0022335052490234375
1800,0.0020110607147216797
1900,0.002172708511352539
2000,0.0022935867309570312
2100,0.0024259090423583984
2200,0.0030777454376220703
2300,0.0033457279205322266
2400,0.0028285980224609375
2500,0.0029675960540771484
2600,0.0032033920288085938
2700,0.0033617019653320312
2800,0.0033473968505859375
2900,0.003479480743408203
3000,0.0036382675170898438
3100,0.003827333450317383
3200,0.005905628204345703
3300,0.004296541213989258
3400,0.004117250442504883
3500,0.004275321960449219
3600,0.00480198860168457
3700,0.004665374755859375
3800,0.004643917083740234
3900,0.004763603210449219
4000,0.004878044128417969
4100,0.005202531814575195
4200,0.0055081844329833984
4300,0.0055887699127197266
4400,0.005650520324707031
4500,0.005831241607666016
4600,0.0060138702392578125
4700,0.0060956478118896484
4800,0.00630497932434082
4900,0.0064275264739990234
5000,0.006602764129638672
5100,0.006831645965576172
5200,0.006954193115234375
5300,0.007247209548950195
5400,0.007215261459350586
5500,0.007254123687744141
5600,0.007484912872314453
5700,0.007823944091796875
5800,0.007760524749755859
5900,0.007960319519042969
6000,0.008187055587768555
6100,0.00842428207397461
6200,0.008619546890258789
6300,0.008603572845458984
6400,0.008647441864013672
6500,0.009125232696533203
6600,0.009020805358886719
6700,0.009284257888793945
6800,0.009349822998046875
6900,0.009546041488647461
7000,0.00939321517944336
7100,0.009790658950805664
7200,0.009769678115844727
7300,0.010081052780151367
7400,0.010202646255493164
7500,0.011858940124511719
7600,0.010142087936401367
7700,0.010432958602905273
7800,0.010703563690185547
7900,0.01073908805847168
8000,0.011208057403564453
8100,0.011336803436279297
8200,0.011455535888671875
8300,0.011545181274414062
8400,0.011628866195678711
8500,0.011818408966064453
8600,0.011878728866577148
8700,0.012038707733154297
8800,0.012438297271728516
8900,0.012527227401733398
9000,0.012631416320800781
9100,0.012823343276977539
9200,0.012975215911865234
9300,0.013296127319335938
9400,0.01346278190612793
9500,0.013244152069091797
9600,0.013395071029663086
9700,0.01354837417602539
9800,0.014661788940429688
9900,0.014027595520019531
10000,0.014339685440063477
10100,0.01396489143371582
10200,0.014651060104370117
10300,0.014752626419067383
10400,0.01464223861694336
10500,0.0152130126953125
10600,0.015072107315063477
10700,0.01656317710876465
10800,0.01526021957397461
10900,0.015444040298461914
11000,0.015540599822998047
11100,0.015932798385620117
11200,0.016013383865356445
11300,0.01620340347290039
11400,0.016276836395263672
11500,0.01638650894165039
11600,0.01679396629333496
11700,0.017094850540161133
11800,0.01771855354309082
11900,0.016992807388305664
12000,0.01758575439453125
12100,0.017657041549682617
12200,0.017933368682861328
12300,0.017657995223999023
12400,0.01789689064025879
12500,0.017838001251220703
12600,0.01819753646850586
12700,0.01798081398010254
12800,0.018198013305664062
12900,0.01837158203125
13000,0.01865243911743164
13100,0.01869368553161621
13200,0.018907546997070312
13300,0.0189971923828125
13400,0.019427061080932617
13500,0.019379138946533203
13600,0.019385814666748047
13700,0.0194394588470459
13800,0.01978898048400879
13900,0.019939661026000977
14000,0.020138263702392578
14100,0.020072221755981445
14200,0.02039933204650879
14300,0.020548343658447266
14400,0.020766258239746094
14500,0.020763874053955078
14600,0.02086949348449707
14700,0.020905494689941406
14800,0.02122950553894043
14900,0.02124762535095215
15000,0.021374940872192383
15100,0.021567583084106445
15200,0.021657228469848633
